ScripCode,Name,FullName
236,ASIANPAINT,ASIAN PAINTS LIMITED
910,EICHERMOT,EICHER MOTORS LTD
1348,HEROMOTOCO,HERO MOTOCORP LIMITED
1660,ITC,ITC LTD
3456,TATAMOTORS,TATA MOTORS LIMITED
157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L
3045,SBIN,STATE BANK OF INDIA
2031,M&M,MAHINDRA & MAHINDRA LTD
383,BEL,BHARAT ELECTRONICS LTD
11723,JSWSTEEL,JSW STEEL LIMITED
4963,ICICIBANK,ICICI BANK LTD.
5258,INDUSINDBK,INDUSIND BANK LIMITED
2475,ONGC,OIL AND NATURAL GAS CORP.
16669,BAJAJ-AUTO,BAJAJ AUTO LIMITED
547,BRITANNIA,BRITANNIA INDUSTRIES LTD
17963,NESTLEIND,NESTLE INDIA LIMITED
1363,HINDALCO,HINDALCO  INDUSTRIES  LTD
2885,RELIANCE,RELIANCE INDUSTRIES LTD
1964,TRENT,TRENT LTD
3499,TATASTEEL,TATA STEEL LIMITED
881,DRREDDY,DR. REDDY S LABORATORIES
4306,SHRIRAMFIN,SHRIRAM FINANCE LIMITED
1922,KOTAKBANK,KOTAK MAHINDRA BANK LTD
1333,HDFCBANK,HDFC BANK LTD
5900,AXISBANK,AXIS BANK LIMITED
11630,NTPC,NTPC LTD
13538,TECHM,TECH MAHINDRA LIMITED
21808,SBILIFE,SBI LIFE INSURANCE CO LTD
694,CIPLA,CIPLA LTD
1232,GRASIM,GRASIM INDUSTRIES LTD
1394,HINDUNILVR,HINDUSTAN UNILEVER LTD.
11483,LT,LARSEN & TOUBRO LTD.
3432,TATACONSUM,TATA CONSUMER PRODUCT LTD
3787,WIPRO,WIPRO LTD
3506,TITAN,TITAN COMPANY LIMITED
526,BPCL,BHARAT PETROLEUM CORP  LT
1594,INFY,INFOSYS LIMITED
3351,SUNPHARMA,SUN PHARMACEUTICAL IND L
11536,TCS,TATA CONSULTANCY SERV LT
10999,MARUTI,MARUTI SUZUKI INDIA LTD.
7229,HCLTECH,HCL TECHNOLOGIES LTD
20374,COALINDIA,COAL INDIA LTD
11532,ULTRACEMCO,ULTRATECH CEMENT LIMITED
10176,SETFNIF50,SBI-ETF NIFTY 50
19679,GOLDIETF,ICICI PRUDENTIAL GOLD ETF
999920000,NIFTY,NIFTY
